[2026-05-30 22:57:43] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-05-29
正在获取论文...
[IEEE] 2026-5-29 | Doppler-Enhanced Angle of Arrival Estimation for Tracking Autonomous Localization of Errant UAVs
[ACM] 2026-5-29 | Reliable Metal Foreign Object Detection for Mobile Wireless Charging via Harmonic Fingerprinting
[ACM] 2026-5-29 | WheatScout: A Handheld Analyzer for Pre-Harvest Wheat Protein and Moisture Monitoring
[IEEE] 2026-5-29 | Detail Study of Loop Magnetic Antennas Operation for Underwater Communication
[ACM] 2026-5-30 | V-RECS: a NL2Vis Recommender for Chart Generation with Explanations, Captioning, and Suggestions
[ACM] 2026-5-30 | An Immersive Virtual Reality Interface for Archaeological Reconstruction
[ACM] 2026-5-30 | Rethinking Artistic Research in the Age of AI: New Frameworks, HCAI Practices, and Challenges
[ACM] 2026-5-30 | Temporal Augmentation for Remote AV Takeover: A Dual-Phase Evaluation of Replay-Buffered Interfaces
[ACM] 2026-5-30 | Evaluating AI Assistance in Human-in-the-Loop Scenographic Prop Authoring
[ACM] 2026-5-30 | Memorability of Greenhouse Gas Emissions in Virtual Reality: An Evaluation of Enactment and Quiz-Based Gamification
[ACM] 2026-5-29 | Behavioral Markers of Sustained Viewing in VR Museum Exploration: Head Stability, Gaze Dynamics, and Pupillary Response
[ACM] 2026-5-29 | When Machines Observe Architects
[ACM] 2026-5-29 | A Low-Power Distance-Based Approach to Gaze Classification in Pervasive Smart-Eyewear Eye Tracking
[ACM] 2026-5-29 | Cognitive Attention Map: Semantic Tokenization of Source Code via OCR-Based AOI Identification across Performance Levels
[ACM] 2026-5-29 | GazeVaLM: A Multi-Observer Eye-Tracking Benchmark for Evaluating Clinical Realism in AI-Generated X-Rays
[ACM] 2026-5-29 | Building Audio-Visual Digital Twins with Smartphones
[ACM] 2026-5-29 | GeoTwins: Uncovering Hidden Geographic Disparities in Android Apps
[ACM] 2026-5-29 | Hide-and-Sweep: Detecting Concealed Cameras via LED Illumination Sweeps
[ACM] 2026-5-29 | AutoRF: Towards an Agentic Framework for Automated RF Hardware Design
[ACM] 2026-5-29 | Ouroboros: Instilling Motion Awareness in ViTs for Efficient Video Analytics on the Edge
[IEEE] 2026-5-29 | Modeling of Conjugative- and Phage- Mediated CRISPR-based System against Antimicrobial Resistant Bacteria_supp1-3693402.pdf
[IEEE] 2026-5-29 | Safety-critical Dynamic Event-triggered Control of Self-organizing USV Swarms with Input Constraints via Reinforcement Learning
[IEEE] 2026-5-29 | Management of Dissipative and Uncertain Trust in a Digital Twin based Control System for the MASS
[IEEE] 2026-5-29 | Influence of Heat-Treatment on Magnetic Properties of Melt-Spun Fe-6.5wt.%Si Ribbons
[IEEE] 2026-5-29 | IEEE Career Center
[IEEE] 2026-5-29 | A Vertically Polarized Narrow Width High Gain Meander-Line Bidirectional Array Antenna Mounted on Large-Scale Metal Plane
[IEEE] 2026-5-29 | Zero-Shot Face Authentication in Multi-User Scenarios Using Mmwave Signals
[IEEE] 2026-5-29 | Wrench-Feasible Workspace Analysis of Mobile Cable-Driven Parallel Robot Considering both Tipping and Rotation Stability
[IEEE] 2026-5-29 | Using Robotics to Improve Transcatheter Edge-to-Edge Repair of the Mitral Valve
[IEEE] 2026-5-29 | A Fixed-Frequency Three-Level NPC-Based LCLC Resonant Converter With Inherent CC–CV Charging Capability
[IEEE] 2026-5-29 | Optimal Design of Electric Machines Based on Pareto-Guided Active Learning Surrogate Model
[IEEE] 2026-5-29 | IEEE Connects You to a Universe of Information!
[IEEE] 2026-5-29 | Optimising dry powder inhalers for lung deposition with a DRL CFD coupled framework
[IEEE] 2026-5-29 | Ultra-Steep-Slope and High-On/Off-Ratio P-Channel SnO Thin-Film Transistors via Monolithic Threshold-Switching Integration
[IEEE] 2026-5-29 | MGA-CLIP: A Multigranularity Attribution Framework for Cross-Modal Explainability in CLIP
[ACM] 2026-5-30 | Reconnecting Seniors with Blue Spaces: A Technology-Mediated Immersive Approach
[ACM] 2026-5-30 | Brainy: a Virtual Pet Encouraging Digital Wellbeing
[ACM] 2026-5-30 | Semantic Prompting: Agentic Incremental Narrative Refinement through Spatial Semantic Interaction
[IEEE] 2026-5-29 | The Industrial Revolution of the Intelligence Age
[IEEE] 2026-5-29 | Understanding Energy Megatrends: Drivers, Pathways, and Required Technologies
[IEEE] 2026-5-29 | The Open Source Bug Hunter: When Smaller Models Outperform the Giants at Finding Faults
[ACM] 2026-5-29 | Visual Attention and Cognitive Load in Text Relevance Assessment
[ACM] 2026-5-29 | Professional Vision in Early Childhood Education: Mobile Eye-Tracking in Educator–Child Interactions
[ACM] 2026-5-29 | Associations Between Eye-Tracking Dynamics and Cognitive Variability in Functionally Independent Older Adults
[ACM] 2026-5-29 | GUARDIAN: Gaze User Authentication and Reference Detection for Integrity Analysis on Netflix
[ACM] 2026-5-29 | Perceiving AI in Motion: A Mixed-Method Eye-Tracking Study of Social Diversity in AI-Based Mobility Systems
[ACM] 2026-5-29 | Event-based Gaze Estimation via Spatial-Temporal Interaction
[ACM] 2026-5-29 | Corneal Center Estimation Using Incident Planes Calculated by Polarization
[ACM] 2026-5-29 | FBLayout: Optimizing Memory Layout for Efficient LLM Finetuning on Mobile GPUs
[ACM] 2026-5-29 | [Emerging Ideas] Phonotonos: Through-Skin Ultrasonic Blood Flow Sensing Using Smartphones
[IEEE] 2026-5-29 | Literary Emotions in Motion: A Soft Robotics Installation for Tactile Storytelling
[IEEE] 2026-5-29 | NSGR: A Tile-Free 360° Video LIVE System With Edge Servers Enhancing Viewport Quality
[IEEE] 2026-5-29 | Computer Highlights Society Magazines
[IEEE] 2026-5-29 | Towards Robust Optical–SAR Object Detection under Missing Modalities: A Dynamic Quality-Aware Fusion Framework
[IEEE] 2026-5-29 | EMF Exposure Application Using Both Cavity Filter and Mode-Matching Component at the 2.45 GHz ISM Band
[IEEE] 2026-5-29 | Leader-Following Bipartite Consensus of Nonlinear Multiagent Systems With Input Saturation via Impulsive Control
[IEEE] 2026-5-29 | Free-Position Wireless Power Transfer System for Lightweight Unmanned Aerial Vehicle Based on Multireceiver-Coil Design
[IEEE] 2026-5-29 | Table of Contents
[IEEE] 2026-5-29 | Rapeseed Yield Estimation by Assimilating a Novel SAR-Retrieved Canopy Parameter Considering Plant Structure and Regional Characteristics
[IEEE] 2026-5-29 | A Multidimensional Comparative Survey of Hybrid Cloud-IoT Architectures for Healthcare: Towards a Fog-Mesh Synergistic Framework
[IEEE] 2026-5-29 | Filtering and Accelerating: A Unified Framework for High-Performance Persistence Estimation_supp1-3695579.pdf
[IEEE] 2026-5-29 | Event Temporal Upsampling through High Frame Rate Brightness Changes Estimation_supp1-3695939.pdf
[IEEE] 2026-5-29 | Robust Broadband Shielding Effectiveness Characterization of Small Enclosures Using a Practical Hybrid Measurement Method
[IEEE] 2026-5-29 | Stroke-based Cyclic Amplifier: Image Super-Resolution at Arbitrary Ultra-Large Scales_supp1-3695560.mp4
[IEEE] 2026-5-29 | Explainable Causal Forecasting Model for Maximum Usable Frequency in HF Wireless Communications
[IEEE] 2026-5-29 | On the Illusion of Gender Bias in Face Recognition: Explaining the Fairness Issue Through Non-demographic Attributes
[ACM] 2026-5-29 | HealthServe: A Public Health-Aware Inference Framework
[IEEE] 2026-5-29 | Game-Theoretic Optimization of Multiple Interfering Base Stations Deployment
[ACM] 2026-5-30 | From Trust to Agency: Designing Child-Centred AI Interaction
