[2026-04-13 22:43:18] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-04-12
正在获取论文...
[ACM] 2026-4-13 | Crafting Remembrance Beyond the Self: Older Adults’ Digital and Material Legacies
[ACM] 2026-4-13 | Navigating Financial Lives: How Autistic Adults Adapt Financial Technologies, Tools and Strategies
[ACM] 2026-4-13 | VisceroHaptics: Investigating the Effects of Gut-based Audio-Haptic Feedback on Gastric Feelings and Gastric Interoceptive Behavior
[ACM] 2026-4-13 | Increasing Input Accuracy of Embodied Devices via Electrical Muscle Stimulation
[ACM] 2026-4-13 | "An Experience That Could Not be Found Anywhere Else": Resonance as an Explanatory Concept for Player Experience Research and Game Design
[ACM] 2026-4-13 | The ORBIT India Dataset: Understanding the Challenges of Collecting a Disability-First AI Dataset in Low-Resource Environments
[ACM] 2026-4-13 | Needling Through the Threads: A Visualization Tool for Navigating Threaded Online Discussions
[ACM] 2026-4-13 | Representation on Our Terms: How Trans and Gender Diverse People Prioritize Inclusivity in University Information Systems
[ACM] 2026-4-13 | Do Citizens Agree with the EU AI Act? Public Perspectives on Risk and Regulation of AI Systems
[ACM] 2026-4-13 | Feel the Sync: The Effects of Shared Haptic Feedback on Short-Cycle Repetitive Turn-Taking Collaboration of Remote Users in Virtual Reality
[ACM] 2026-4-13 | Toolset Action Coding System: A Generalized Method for Tool Measurement
[ACM] 2026-4-13 | “Bespoke Bots”: Diverse Instructor Needs for Customizing Generative AI Classroom Chatbots
[ACM] 2026-4-13 | On the Common Pitfalls of Designing and Communicating Within-Subjects Experiments in HCI
[ACM] 2026-4-13 | PoliSim@CHI 2026: LLM Agent Simulation for Policy
[ACM] 2026-4-13 | SocialCue: Exploring the Design Space of Social Wayfinding Assistants for Blind and Low Vision People
[ACM] 2026-4-13 | ArtfulSign: A Closed-Loop, Semantics-Grounded Mobile System for Learning Chinese Sign Language
[ACM] 2026-4-13 | Tracking Eye Movements to Extract Visual Patterns for Better Language Problem-Solving Skills in School-aged Children
[ACM] 2026-4-13 | How Does It Know?: Characterizing Thinking Through Unconscious Pen Gestures
[ACM] 2026-4-13 | Science and Technology for Augmenting Reading (STAR)
[ACM] 2026-4-13 | Approximate vs Precise: An Experiment in What Impacts User Choice When Apps Request Location Access
[ACM] 2026-4-13 | Effects of Generative AI Errors on User Reliance Across Task Difficulty
[ACM] 2026-4-13 | Preliminary Explorations of Generative AI and the Embodied Embroidery of Huayao Intangible Cultural Heritage
[ACM] 2026-4-13 | “Tell Me Why You’re Asking”: Exploring How to Increase Engagement in Preference Feedback for Intelligent Notification Systems
[IEEE] 2026-4-13 | Leveraging Generative AI for Security Defense of Mobile Edge-Enabled Digital Twins: A Survey
[IEEE] 2026-4-13 | Attribute–Topology Cross-Frequency Aligned Graph Neural Networks for Homophilic and Heterophilic Graphs in Node Classification
[IEEE] 2026-4-13 | DMS: Throughput-Aware Distributed Multimodal Model Surgery on Embedded Devices
[IEEE] 2026-4-13 | The Safety Frontier in LLMs: Risks, Defenses, and Open Challenges
[IEEE] 2026-4-13 | Robust Beamforming for RSMA-Aided Bistatic Integrated Sensing and Communication in Low-Altitude Wireless Networks
[IEEE] 2026-4-13 | Chirality and Handedness of the SKALA4.1 Antenna and Intra-Station Mitigation
[IEEE] 2026-4-13 | Modeling Astrocyte-Driven Repair of Visuomotor Deficits in Alzheimer's Thalamic Circuitry_supp1-3682803.pdf
[IEEE] 2026-4-13 | Global Trust: Lightweight, Event-Driven Trust Management for Blackhole-Resilient IoT Routing
[IEEE] 2026-4-13 | Object Distance Monitoring in Crisis Scenarios Using Deep Learning Based Yolo-7 Model
[IEEE] 2026-4-13 | Comparative Analysis of Circular and Dual-Band Diode-Based Reconfigurable Circular Patch Antennas: Design and Performance
[IEEE] 2026-4-13 | Parametric Study of the Insertion of DGS Type Structure with Geometry Based on SETR Type Metamaterial Applied in Rectangular Patch Microstrip Antennas
[IEEE] 2026-4-13 | Parametric Study of a Circularly Patch DGS Antenna with SETR Inspired Metamaterial Structures
[IEEE] 2026-4-13 | A Federated Learning Approach to Alleviate Data Heterogeneity in Smart Grid
[IEEE] 2026-4-13 | Nanomaterial Synthesis by Dense Medium Glow Discharge: Improvement of Efficiency by Design of Experiment Model
[IEEE] 2026-4-13 | Fuzzy Cascade PID Control of Core Outlet Temperature Based on Novel Gas-Cooled Microreactors
[IEEE] 2026-4-13 | A Wideband Magneto-Electric Dipole Based Slant Polarized Antenna with Metasurface
[IEEE] 2026-4-13 | Evaluating the Impact of AI on Customer Service Efficiency and Customer Satisfaction: A Management Perspective
[IEEE] 2026-4-13 | The Evolution of Stethoscopes and the Potential of Smart Stethoscopes as Future Technology: A Systematic Review of Cardiac and Pulmonary Diagnostics
[IEEE] 2026-4-13 | Dual-Polarized Phased Subarray at Millimeter-Wave Band with 6 Beamformer Chips and 48 Elements
[IEEE] 2026-4-13 | Biodegradable Chitosan-Nb
                    <sub>2</sub>
                    O
                    <sub>5</sub>
                    Substrates for Microwave Devices
[IEEE] 2026-4-13 | Antennas Optimization Techniques for Integration of Wireless Applications using Angle-of-Arrival
[IEEE] 2026-4-13 | Gene Expression Dynamics in Endometriosis and Hashimoto Disease: Insights into Potential Overlaps
[IEEE] 2026-4-13 | Bearing Fault Recognition Method Integrating Multi-Scale Features and Attention Mechanism
[IEEE] 2026-4-13 | Predictive Analytics for Crime Prevention: Ethical, Legal and Technical Challenges
[IEEE] 2026-4-13 | Influencer or Finfluencer: A Comprehensive Study of Behavioral Finance in the Age of Digital Social Media
[IEEE] 2026-4-13 | Assessment of Osteonecrosis-Induced Changes in the Viscoelastic and Biomechanical Properties of Human Trabecular Bone
[IEEE] 2026-4-13 | Aerial Image Analysis System Captured with UAV for Early Detection of Maize Foliar Diseases Using Lightweight YOLO Variants
[IEEE] 2026-4-13 | The Open-Source Model for Ryodoraku Acupoint Conductance Measurement
[IEEE] 2026-4-13 | Enhanced Conditional Diffusion Models for 2D Medical Image Augmentation in Tumor Detection
[IEEE] 2026-4-13 | Beyond Symmetry: A Novel Asymmetric Interaction Strategy for Immersive VR-Based Mirror Therapy
[IEEE] 2026-4-13 | 10K is Enough: An Ultra-Lightweight Binarized Network for Infrared Small-Target Detection
[IEEE] 2026-4-13 | Communication Efficient Adaptive Model-Driven Quantum Federated Learning
[IEEE] 2026-4-13 | Five-Fold Partitioned 30 × 30 MIMO Equalization Using Mode-Group Specific Interface Quantization in 15-Mode Fiber SDM Transmission
[IEEE] 2026-4-13 | An AI-Based Framework for Automated Fraud Risk Assessment in Auditing
[IEEE] 2026-4-13 | Retinal Vessel Geometry as a Surrogate Marker Coronary Artery Calcification: A Deep Learning Approach
[IEEE] 2026-4-13 | RedLife: Enhancing Accessibility and Efficiency in Blood Donation through Mobile Technology
[IEEE] 2026-4-13 | Local Surface Approximation Contours for Virtual Reality Stylisation
[IEEE] 2026-4-13 | VRN-Back: an Immersive Music Rhythm Game for Working Memory Training in Virtual Reality_supp1-3680633.pdf
[IEEE] 2026-4-13 | LIVE-GS: LLM Powers Interactive VR Experience with Physics-Aware Gaussian Splatting
[IEEE] 2026-4-13 | Fault Detection of Coil Misalignment in Multi-Receiver Wireless Power Transfer Systems With the Estimated Mutual Inductance
[IEEE] 2026-4-13 | 2025 IEEE Scientific Visualization Contest Winner: A Comprehensive Visual Exploration Tool for Multivariate Multi-Objective Optimization of Aluminum Alloy Compositions_supp1-3678413.mp4
[IEEE] 2026-4-13 | : A Plug-In Module Lifting MV Diffusion Models for 3D Asset Generation_supp2-3679384.mp4
[IEEE] 2026-4-13 | A Dual Beam Electrically Compact Wrapped-around Ku-Band Series-Fed Array for Satphones
[IEEE] 2026-4-13 | VisionDerm: Efficient Net-Optimized Deep Learning Model for Skin Disease and Vitamin Deficiency Detection Using Non-Dermoscopic Standard Images
[IEEE] 2026-4-13 | Artificial Intelligence Based Virtual Assistant System
[IEEE] 2026-4-13 | AI-Augmented Data Architecture: A Next-Generation Framework for Scalable, Intelligent, and Autonomous Data Ecosystems
[IEEE] 2026-4-13 | Actor-Critic Framework-Based on Optimal Tracking Strategy for Snake Robots with Reinforcement Learning Method
[ACM] 2026-4-13 | CaseCompass: Designing Sustainable, Community-Led Socio-Technical Systems for Gender-Based Violence Support Work
[ACM] 2026-4-13 | BikeButler: A Personalized, Context-sensitive Bike Routing Tool using Open Data and VLM-based Analyses of Street View Imagery
[ACM] 2026-4-13 | Dynamic Compensation Can Enhance User Engagement by Triggering Sensitivity to Financial Losses in Crowd-sourced Studies
[ACM] 2026-4-13 | EmotiV: Exploring Automatic Emotion Sharing through Facial Expression Recognition (FER) for Online Co-Watching
[ACM] 2026-4-13 | Privy: Envisioning and Mitigating Privacy Risks for Consumer-facing AI Product Concepts
[ACM] 2026-4-13 | AI in Webtoon Creation: Challenges, Perceptions, and Design Implications
[ACM] 2026-4-13 | Balancing Accuracy and Embodiment: A Hybrid Perspective for Complex Visuomotor Tasks in VR
[ACM] 2026-4-13 | EmoFlow: From Tracking to Sense-Making of Emotions Through Creative Drawing
[ACM] 2026-4-13 | Sensing Your Vocals: Exploring the Activity of Vocal Cord Muscles for Pitch Assessment Using Electromyography and Ultrasonography
[ACM] 2026-4-13 | MlondaCam: Designing Context-Aware Smart Cameras for Supporting Domestic Security and Privacy in Malawian Homes
[ACM] 2026-4-13 | Chasing Meaning and/or Insight? A Survey on Evaluation Practices at the Intersection of Visualization and the Humanities
[ACM] 2026-4-13 | Disqualified by Disability: The Exclusion of Disabled Workers by Digitized Hiring Assessments
[ACM] 2026-4-13 | "AI does not understand the real world.": AI Augmented Software Development
[ACM] 2026-4-13 | Me²: Co-Designing Deepfake Encounters With One's Child Self in XR
[ACM] 2026-4-13 | "It Helps Me Start": How ADHD Users Adapt AI Tools in Everyday Life
[ACM] 2026-4-13 | Looks Good, But Is It Usable? Evaluating Usability in AI-Generated Mobile User Interfaces
[ACM] 2026-4-13 | StreAM: An LLM-Based System for Stress-Adaptive Meditation at Work
[ACM] 2026-4-13 | "Figma Is a Big Black Box:" The Mismatch Between the Interface and Its Underlying Structure
[ACM] 2026-4-13 | Augmented Reality for Tabletop and In-Situ Visualization of Road Construction Drawings to Support Engineers
[ACM] 2026-4-13 | MnemoMaker: Creator, Curator, or Something Else? Exploring Human-AI Mnemonic Co-Creation
[ACM] 2026-4-13 | If I Change Your Eyes, Are You Still You? Identity Thresholds in Deepfake Perception
[ACM] 2026-4-13 | Break the Window: Exploring Spatial Decomposition of Webpages in XR
[ACM] 2026-4-13 | The Sound of Silencing: Identities and Ideologies in Commercial Text-To-Speech
[ACM] 2026-4-13 | User-Centered Design Principles for Decentralized Identity in Banking KYC
[ACM] 2026-4-13 | Wind-OI: A Real-Time CFD-Driven Olfactory Interface with Wind Stimulus for Virtual Dynamic Odor Environments
[ACM] 2026-4-13 | Keeping Community-in-the-Loop: A Novel Methodology for UX Research
[ACM] 2026-4-13 | Sticky and Magnetic: Evaluating Error Correction and User Adaptation in Gaze and Pinch Interaction
[ACM] 2026-4-13 | MagHeart: Exploring Playful Avatar Co-Creation and Shared Heartbeats for Icebreaking in Hybrid Meetings
[ACM] 2026-4-13 | Human-Centered Explainable AI for Brain-Computer Interface-driven Rehabilitation
[ACM] 2026-4-13 | HCI-TERRA: HCI Towards EnviRonmentally Responsible AI
[ACM] 2026-4-13 | Probing More-Than-Human Representation in Crisis Resilience Planning: An HCI Researcher Perspective
[ACM] 2026-4-13 | Embodied Encounters in the Forest: Human Interpretations and Sense Making of Robot Presence and Behavior
[ACM] 2026-4-13 | Quantifying Co-writing with AI across Datasets from the HCI Community
[ACM] 2026-4-13 | I Felt Like I Need to Fit in Someone Else's Body - Understanding Body-Centered UX Design for Online Fashion Shopping
[ACM] 2026-4-13 | Noise Pilot: Enabling Artistic Workflow Composition with Diffusion-Based Image Generation
