[2026-06-21 23:13:33] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-06-20
正在获取论文...
[ACM] 2026-6-20 | Spatio-Temporal Modelling of Electric Vehicle Charging Demand
[ACM] 2026-6-20 | LLM-GreenServe: Optimized Power Consumption with Power-aware Prefill-Decoding Scheduling
[ACM] 2026-6-20 | Examining Feasibility of STL for Enforcing Safe Building Control
[ACM] 2026-6-20 | Enhancing Urban Building Energy Models through Activity Based Occupancy Generation
[ACM] 2026-6-20 | PhD Forum Abstract: Integrating data-driven and human-centric approaches for scalable and flexible building management
[ACM] 2026-6-20 | Multi-market value-stacking: Battery control for combined imbalance participation and non-uniform FCR bidding
[ACM] 2026-6-20 | Weather-Driven Power Outage Prediction Using Transfer Learning and Interpretable Pattern Discovery
[ACM] 2026-6-20 | Write, Fold, Pass: Many Voices, One Odyssey, and AI-Supported Scaffolding to Foster Children’s Creative Writing Engagement
[ACM] 2026-6-20 | Shadows, Doodles and Dice: Three Demos for Inter-generational Interactions around AI Literacy
[ACM] 2026-6-20 | "We listen, we don't judge": Exploring Design Opportunities for Emotional Literacy and Normalization in Parent-Child Interactions
[ACM] 2026-6-20 | PlayScape: Designing with Children Through Child-Led Nature-Play
[ACM] 2026-6-20 | Social Proximity and Data Sensitivity: An Exploratory Study of Children’s Privacy Spheres Configurations in Urban and Rural Peru
[ACM] 2026-6-20 | The Evil Bird and the Right to Disconnect: Children’s Vulnerability to Exit Dark Patterns in Gamified Educational Apps
[ACM] 2026-6-20 | Reclaiming Creative Exploration: An In Situ Study to Support Process-based Learning Through Digital Making in Low Socioeconomic Schools
[ACM] 2026-6-20 | A Gamified AR System for Children’s Disaster Preparedness: Supporting Engagement through Multi-Scenario Learning
[ACM] 2026-6-20 | Towards Meaningful Smart Rooms for Children: IoT Prototypes Designed to Encourage Self-Appropriation
[ACM] 2026-6-20 | Robots For Everyday Life: Children’s Visions on Roles of Robots
[ACM] 2026-6-20 | Power Compression: Peak Power Aware Workflow Optimization for Agentic AI
[ACM] 2026-6-20 | BuilDyn: Excitation-Driven Data Generation for Building Thermal Dynamics Modeling and Control
[ACM] 2026-6-20 | A Modular Digital Twin Framework for Waste Heat Recovery and Workload Orchestration in Data Centres
