[2026-05-28 23:16:49] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-05-27
正在获取论文...
[arXiv] 2026-05-27 | Nonvolatile Charge-Domain Attention with HZO Ferroelectric Capacitors: A Simulation-Based Device-to-System Evaluation
[arXiv] 2026-05-27 | Plant, Persist, Trigger: Sleeper Attack on Large Language Model Agents
[arXiv] 2026-05-27 | Automated Heuristic Design for Network Operations
[arXiv] 2026-05-27 | Spatiotemporal Tracking in Cooperative ISAC Networks: A Stochastic Geometry Framework
[arXiv] 2026-05-27 | Dynamic Stabilisation of Boundary Control Systems
[arXiv] 2026-05-27 | MangaFlow: An End-to-End Agentic Framework for Controllable Story to Manga Generation
[arXiv] 2026-05-27 | FT-Pilot: Automated Fault-Tolerant RTL Rewriting via Vulnerability-Guided LLMs
[arXiv] 2026-05-27 | DebFilter: Eradicating Biases Stashed in Value
[arXiv] 2026-05-27 | QuITE: Query-Based Irregular Time Series Embedding
[arXiv] 2026-05-27 | Performance and Explainability Requirements of Evolutionary Algorithms in Real-World Physics-Informed Optimization
[arXiv] 2026-05-27 | Sign-Aware Gated Sparse Autoencoders: Modeling Anticorrelated Features with Bi-Jump-ReLU Activations
[arXiv] 2026-05-27 | Sensitivity Analysis of the Top-Quark Sector
[arXiv] 2026-05-27 | Deconstructing Spatial Complexity: Hierarchical Decomposition for LLM Spatial Reasoning
[arXiv] 2026-05-27 | Gradient Step Plug-and-Play Model for Dental Cone-Beam CT Reconstruction
[arXiv] 2026-05-27 | Analytical solution of the Langmuir model for moisture diffusion in cylindrical coordinates
[arXiv] 2026-05-27 | MIRAGE: Context-Aware Prompt Injection against Mobile GUI Agents via User-Generated Content
[arXiv] 2026-05-27 | Human-like in-group bias in instruction-tuned language model agents
[arXiv] 2026-05-27 | Benchmarking Inductive Biases for Multivariate Time-Series Anomaly Detection with a Robust Multi-View Channel-Graph Detector
[arXiv] 2026-05-27 | FPMoE: A Sparse Mixture-of-Experts Approach to Functional Code Generation
[arXiv] 2026-05-27 | EAPO: Entropy-Driven Adaptive Positive-Negative Sample Weighting for Policy Optimization in Open-Ended QA
[arXiv] 2026-05-27 | CAREF: Calibration-Aware Regularization for Explanation Faithfulness Without Rationale Supervision
[arXiv] 2026-05-27 | Turning Video Models into Generalist Robot Policies
[arXiv] 2026-05-27 | Residualized Temporal Sparse Autoencoders for Interpreting Diffusion Models
[arXiv] 2026-05-27 | CuriosAI Submission to the CASTLE Challenge at EgoVis 2026
[arXiv] 2026-05-27 | SYNAPSE: Neuro-Symbolic Visual Thought-to-Text Decoding via Topological Semantic Denoising
[arXiv] 2026-05-27 | A Fixed-Budget, Cluster-Aware Standard for LLM-as-a-Judge Evaluation: A Multi-Hop RAG Stress Test
[arXiv] 2026-05-27 | When Discourse Pressures Conflict: Information Structure in Vision-Language Model Outputs
[arXiv] 2026-05-27 | Picid: A Modular Evaluation Infrastructure for Reproducible PHM Across Tasks and Domains
[arXiv] 2026-05-27 | Decision-focused learning for optimal PV-Battery scheduling
[arXiv] 2026-05-27 | An Enhanced Large Neighborhood Search Approach for the Capacitated Facility Location Problem with Incompatible Customers
[arXiv] 2026-05-27 | Hybrid neural denoising for resource-efficient near- and sub-threshold radio triggering of extensive air showers
[arXiv] 2026-05-27 | Transfer learning RGB models to hyperspectral images with trainable tensor decompositions
[arXiv] 2026-05-27 | Learning the Error Patterns of Language Models
[arXiv] 2026-05-27 | Insurance Pricing Optimization via Off-Policy Evaluation
[arXiv] 2026-05-27 | Polarimetric Backscattering Setup for Quantitative Scattering Parameters Retrieval
[arXiv] 2026-05-27 | Identifying Explicit Parsimonious Piece-wise Polynomial Relationships in Industrial time-series: Application to manipulator robots
[arXiv] 2026-05-27 | EventShiftFlow: Towards Hardware-efficient FPGA-based Flow Estimation
[arXiv] 2026-05-27 | HELEA: Hard-Negative Benchmark and LLM-based Reranking for Robust Entity Alignment
[arXiv] 2026-05-27 | Compositional Generalization in Autoregressive Models via Logit Composition
[arXiv] 2026-05-27 | Better Accuracies, Worse Reasoning: A Step-Level Audit of Medical Chain-of-Thought Distillation
[arXiv] 2026-05-27 | PEFT-Arena: Understanding Parameter-Efficient Finetuning from a Stability-Plasticity Perspective
[arXiv] 2026-05-27 | Self-Improving Language Models with Bidirectional Evolutionary Search
[arXiv] 2026-05-27 | HarmoVid: Relightful Video Portrait Harmonization
[arXiv] 2026-05-27 | Ω-QVLA: Robust Quantization for Vision-Language-Action Models via Composite Rotation and Per-step Scaling
[arXiv] 2026-05-27 | A GPU-based Solver for Polarization Dynamics in Ferroelectric Materials
[arXiv] 2026-05-27 | Synthesis and properties of bulk Mg$_3$WN$_4$ in a wurtzite-derived structure
[arXiv] 2026-05-27 | CaMBRAIN: Real-time, Continuous EEG Inference with Causal State Space Models
[arXiv] 2026-05-27 | Bias Leaves a Gradient Trail: Label-Free Bias Identification via Gradient Probes on Concept Decompositions
[arXiv] 2026-05-27 | The Abstraction Gap in Vision-Language Causal Reasoning
[arXiv] 2026-05-27 | Can LLMs Use Linguistic Uncertainty Markers to Reliably Reflect Intrinsic Confidence?
[arXiv] 2026-05-27 | Principled Algorithms for Optimizing Generalized Metrics in Multi-Label Learning
[arXiv] 2026-05-27 | A variability-aware simulation and design workflow for wafer-scale, heterogeneously integrated lithium niobate modulators
[arXiv] 2026-05-27 | Code as a Weapon: A Consensus-Labeled Prompt Bank for Measuring Coding-Model Compliance with Malicious-Code Requests
[arXiv] 2026-05-27 | Variational Quantum Models for Knowledge Graph Embeddings on NISQ Devices
[arXiv] 2026-05-27 | Heatomics
[arXiv] 2026-05-27 | Expressive Power of Floating-Point Neural Networks with Arbitrary Reduction Orders and Inexact Activation Implementations
[arXiv] 2026-05-27 | Adaptive Partitioning in Column Generation for Nested Paths
[arXiv] 2026-05-27 | Latent-Conditioned Parameterized Quantum Circuits as Universal Approximators for Distributions over Quantum States
[arXiv] 2026-05-27 | Sense Representations Are Inducible Interfaces
[arXiv] 2026-05-27 | Activation Steering for Synthetic Data Generation: The Role of Diversity in Downstream Safety Detection
[arXiv] 2026-05-27 | Testing cosmic anisotropy with the Combo correlation of gamma-ray bursts
[arXiv] 2026-05-27 | Efficient and Quantum-safe Internet Key Exchange Protocols for Satellite Communications
[arXiv] 2026-05-27 | MaskClaw: Edge-Side Personalized Privacy Arbitration for GUI Agents with Behavior-Driven Skill Evolution
[arXiv] 2026-05-27 | The Attentional White Bear Effect in Transformer Language Models
[arXiv] 2026-05-27 | Triaxial shapes and densities of G!kún||'hòmdímà, Haumea, and Varda from stellar occultations
[arXiv] 2026-05-27 | Single-Rollout Hidden-State Dynamics for Training-Free RLVR Data Selection
[arXiv] 2026-05-27 | Topological singular set of manifold-valued maps weakly approximable by smooth maps
[arXiv] 2026-05-27 | Non-Kähler metrics on complex manifolds of LVMB type
[arXiv] 2026-05-27 | Smooth atlas stratified spaces, K-Homology Orientations, and Gysin maps. Part 2
[arXiv] 2026-05-27 | Measuring Form and Function in Language Models
[arXiv] 2026-05-27 | Implicit Regularization in Perturbed Deep Matrix Factorization: Spectral Conditions and Stability
[arXiv] 2026-05-27 | Ultrafast dynamics of excitons in black phosphorus
[arXiv] 2026-05-27 | JECA^2: Judgment-Explanation Consistent Adversarial Attack against Forensic Vision-Language Models
[arXiv] 2026-05-27 | Adaptive Multimodal Agents-Based Framework for Automatic Workflow Execution
[arXiv] 2026-05-27 | Deformable Gaussian Occupancy: Decoupling Rigid and Nonrigid Motion with Factorized Distillation
[arXiv] 2026-05-27 | A unified proof of conjectures on the spaces of multiple $q$-zeta values
[arXiv] 2026-05-27 | SARAD: LLM-Based Safety-Aware Hybrid Reinforcement Learning with Collision Prediction for Autonomous Driving
[arXiv] 2026-05-27 | MUSE: Benchmarking Manufacturable, Functional, and Assemblable Text-to-CAD Generation
[arXiv] 2026-05-27 | A Conflict-Aware Penalty and Statistical Loss Framework for Balancing Modalities and Enhancing Stability in Multimodal Sentiment Analysis
[arXiv] 2026-05-27 | Ten Squares Force an Overlap
[arXiv] 2026-05-27 | DriveWAM: Video Generative Priors Enable Scalable World-Action Modeling for Autonomous Driving
[arXiv] 2026-05-27 | Search for pair-produced vector-like $T$-quarks decaying into $Ht$ final states in the lepton-plus-jets channel in $pp$ collisions at $\sqrt{s}$=13 TeV with the ATLAS detector
[arXiv] 2026-05-27 | Defect Spaces and Gram Operators for Tensor-Valued Incidence Maps
[arXiv] 2026-05-27 | Stabilizing distribution-free probabilistic forecasts
[arXiv] 2026-05-27 | Unified sparse framework for large-scale material point method simulations
[arXiv] 2026-05-27 | Let Relations Speak: An End-to-End LLM-GNN Soft Prompt Framework for Fraud Detection
[arXiv] 2026-05-27 | Learning Theory of the SVRG: Generalization and Convergence Analysis
[arXiv] 2026-05-27 | Janus-LoRA: A Balanced Low-Rank Adaptation for Continual Learning
[arXiv] 2026-05-27 | A new semantically annotated corpus with syntactic-semantic and cross-lingual senses
[arXiv] 2026-05-27 | Looking Farther with Confidence: Uncertainty-Guided Future Learning for Sequential Recommendation
[arXiv] 2026-05-27 | The Cofinal Strong Chang Conjecture from Models of Determinacy
[arXiv] 2026-05-27 | Mag-VLA: Vision-Language-Action Model for Bimanual Magnetically Actuated Microrobot Manipulation
[arXiv] 2026-05-27 | Towards Autonomous Commissioning of Industrial Drives via Multi-Objective Bayesian Optimization
[arXiv] 2026-05-27 | EIT-Pneumatic Hybrid Robotic Skin for Practical and Accurate Force Map Reconstruction
[arXiv] 2026-05-27 | Beyond One Path: Evaluating and Enhancing Divergent Thinking in Interactive LLM Agents
[arXiv] 2026-05-27 | BiasEdit: A Training-Free Bias-Detect-and-Edit Framework for Learning Fair Visual Classifiers
[arXiv] 2026-05-27 | Localization from Pseudoranges: Quadrics and Duality
[arXiv] 2026-05-27 | Quasineutral Plasmas and the Geometry of Kinetic Stability
[arXiv] 2026-05-27 | Skill0.5: Joint Skill Internalization and Utilization for Out-of-Distribution Generalization in Agentic Reinforcement Learning
[arXiv] 2026-05-27 | VITAL: Visual-Semantic Dual Supervision for Enhanced and Interpretable Latent Reasoning in Medical MLLMs
[arXiv] 2026-05-27 | Ordinal semigroups
[arXiv] 2026-05-27 | Tactile-Proprioceptive Sensor Fusion for Contact Wrench Estimation in Whole-Body Physical Human-Robot Interaction
[arXiv] 2026-05-27 | A Method for Imaging Interplanetary Magnetic Field Strength and Orientation
[arXiv] 2026-05-27 | Measuring Progress Toward AGI: A Cognitive Framework
[arXiv] 2026-05-27 | On the Smallest Eigenvalues and Quantum Chromatic Numbers of Hamming Graphs and Generalizations
[arXiv] 2026-05-27 | HRBench: Benchmarking and Understanding Thinking-Mode Switch Strategies in Hybrid-Reasoning LLMs
[arXiv] 2026-05-27 | CLANE: Continual Learning of Actions on Neuromorphic Hardware from Event Cameras
[arXiv] 2026-05-27 | Meta-Attention: Bayesian Per-Token Routing for Efficient Transformer Inference
[arXiv] 2026-05-27 | Superradiant LIDAR
[arXiv] 2026-05-27 | Distorting Kerr Images with Parity-Odd Scalar Hair
[arXiv] 2026-05-27 | From Knowing to Doing: A Memory-Controlled Benchmark for LLM Trading Agents on Stock Markets
[arXiv] 2026-05-27 | Absolute measurement of penetration depth of superconducting thin films using microwave stripline resonators
[arXiv] 2026-05-27 | Twisted homology jump loci, twisted Alexander polynomials, and $Σ$-invariants
[arXiv] 2026-05-27 | Universal Time Series Generation with Neural Controlled Differential Equations
[arXiv] 2026-05-27 | SC-1 Etching of Niobium and Titanium Nitride Thin Films
[arXiv] 2026-05-27 | ATLAS: All-round Testing of Long-context Abilities across Scales
[arXiv] 2026-05-27 | Almost Affine Vector Rank-Metric Codes
[arXiv] 2026-05-27 | Comparing telluric removal methods in their capability to recover injected exoplanet atmosphere signals with high resolution emission spectroscopy
[arXiv] 2026-05-27 | Identifying Direct Causal Effects in Latent Factor Models by Accounting for Unidentified Parents
[arXiv] 2026-05-27 | Characterising the role of final state interactions on neutrino energy estimation in the DUNE and Hyper-K era
[arXiv] 2026-05-27 | CP-violation or Nuclear Excitation: Reviewing the Role of Neutrino Interaction Model Uncertainties on Accelerator-Based Neutrino Oscillation Measurements
[arXiv] 2026-05-27 | Model Predictive Control for Constrained Linear Positive Systems on Graphs
[arXiv] 2026-05-27 | How to measure intra-physician variability in clinical decision-making?
[arXiv] 2026-05-27 | Perturbed Families of Symmetric Interval Exchange Maps
[arXiv] 2026-05-27 | A Fresh Look at Lamarckian Evolution and the Baldwin Effect
[arXiv] 2026-05-27 | Delayed Blow-up in 3D Fluids via Pseudo-transport Noise
[arXiv] 2026-05-27 | Models That Know How Evaluations Are Designed Score Safer
[arXiv] 2026-05-27 | Microscopic Weak Selection Principle for the Logistic Branching Brownian Motion with selection
[arXiv] 2026-05-27 | Conjugate radius of open manifolds
[arXiv] 2026-05-27 | Personality, Role, and Expressive Style in Large Language Models: An Interactionist Analysis
[arXiv] 2026-05-27 | Learning Logical Operations for Arbitrary Quantum Error Correction Codes
[arXiv] 2026-05-27 | I Hear, Therefore I Trust: A Socio-Technical Investigation of Humans as Synthetic Speech Detectors
[arXiv] 2026-05-27 | Latent Diffusion for Missing Data
[arXiv] 2026-05-27 | Cultural Binding Heads in Language Models
[arXiv] 2026-05-27 | SAFEVPR: Patch-Based Conformal Verification for Safe Cross-Condition Sequence Visual Place Recognition
[arXiv] 2026-05-27 | A Demonstration of Quantum Circuit Implementation for Obstacle Flow Using Carleman-Linearized Lattice Boltzmann Method
[arXiv] 2026-05-27 | Integrated and Cross-Architecture Interpretation of LLM Reasoning
[arXiv] 2026-05-27 | Thinned Mean Field Langevin Dynamics
[arXiv] 2026-05-27 | An Architecture-Agnostic High-Order Discontinuous Galerkin Framework for Compressible Flows
[arXiv] 2026-05-27 | Out of Sight, Not Out of Mind: Unveiling Latent Attack in Latent-based Multi-Agent Systems
[arXiv] 2026-05-27 | Linking the Gauge Hierarchy with Neutrino Masses and Dark Matter via Two-step Cosmological Selection
[arXiv] 2026-05-27 | Can MACE Potentials Accurately Describe Magnetism and Phase Stability in Fe-Ni Alloys? A Systematic Benchmark
[arXiv] 2026-05-27 | Search for high-pressure phases of yttrium via a data assimilation approach
[arXiv] 2026-05-27 | More about modular symmetries and non-invertible properties in magnetized compactifications
[arXiv] 2026-05-27 | Device-Agnostic Microwave Noise Metrology for Nonlinear Cryogenic Quantum Devices
[arXiv] 2026-05-27 | Avoided Stoner instability at a single ordinary Van Hove point
[arXiv] 2026-05-27 | Toward Semantic-Agnostic and Shape-Aware Vision-Language Segmentation Models
[arXiv] 2026-05-27 | The Importance of Being Statistically Earnest: A Critical Re-evaluation of GSM-Symbolic
[arXiv] 2026-05-27 | FLORO: A Multimodal Geospatial Foundation Model for Ecological Remote Sensing Across Sensors and Scales
[arXiv] 2026-05-27 | Estimates of $mm$-entropy of a stable Lévy process
[arXiv] 2026-05-27 | Extracting Small Translation Specialists from LLMs by Aggressively Pruning Experts
[arXiv] 2026-05-27 | Worldline Higher Spin Gravity
[arXiv] 2026-05-27 | A Multi-dimensional Framework for Evaluating Generalization in EEG Foundation Models
[arXiv] 2026-05-27 | Examples of infinitely many $(-1)$-curves with higher genus on elliptic surfaces
[arXiv] 2026-05-27 | Entropy-aware Masking for Masked Language Modeling
[arXiv] 2026-05-27 | A first extraction of gluon TMDs from Higgs data at the LHC
[arXiv] 2026-05-27 | Wigner-Eckart Factorization of the Spectral Boltzmann Collision Operator
[arXiv] 2026-05-27 | Adapting Automotive Aerodynamics Surrogates to New Vehicle Families via Transfer Learning
